personLabel,twitterUsername,dateOfDeath,countryLabel,dateOfBirth
Antoniy (Mahota),anthonymakhota,2021-03-23T00:00:00Z,Ukraine,1966-11-08T00:00:00Z
Sutopo Purwo Nugroho,Sutopo_PN,2019-07-07T00:00:00Z,Indonesia,1969-10-07T00:00:00Z
Dominique Venner,Venner_Officiel,2013-05-21T00:00:00Z,France,1935-04-16T00:00:00Z
Chesney Crosby,chezibear,2020-03-02T00:00:00Z,Kingdom of the Netherlands,1992-03-02T00:00:00Z
Sabeen Mehmud,sabeen,2015-04-24T00:00:00Z,Pakistan,1975-06-20T00:00:00Z
John Harris,harrispolitico,2019-09-12T00:00:00Z,United Kingdom,1932-03-12T00:00:00Z
Elvis Presley,elvispresley,1977-08-16T00:00:00Z,United States of America,1935-01-08T00:00:00Z
Marcus Intalex,marcusintalex,2017-05-28T00:00:00Z,United Kingdom,1971-07-14T00:00:00Z
Daniele Nardi,NardiDaniele,2019-02-25T00:00:00Z,Italy,1976-06-24T00:00:00Z
Persia Woolley,AuthorPersia,2017-10-03T00:00:00Z,United States of America,1935-11-08T00:00:00Z
Kōichi Hamada,555hamako,2012-08-05T00:00:00Z,Japan,1928-09-05T00:00:00Z
Ahmed Zewail,_zewail_,2016-08-02T00:00:00Z,United States of America,1946-02-26T00:00:00Z
Peyuco Duhart,PeyucoDuhart,2017-12-07T00:00:00Z,France,1947-03-21T00:00:00Z
Carlos Menem,CarlosMenem_LR,2021-02-14T00:00:00Z,Argentina,1930-07-02T00:00:00Z
Elie Wiesel,eliewiesel,2016-07-02T00:00:00Z,Israel,1928-09-30T00:00:00Z
Elie Wiesel,eliewiesel,2016-07-02T00:00:00Z,Romania,1928-09-30T00:00:00Z
Monty Oum,montyoum,2015-02-01T00:00:00Z,United States of America,1981-06-22T00:00:00Z
Jean-François Cesarini,JFCesarini,2020-03-29T00:00:00Z,France,1970-09-30T00:00:00Z
Hisham al-Hashimi,hushamalhashimi,2020-07-06T00:00:00Z,Iraq,1973-05-09T00:00:00Z
Al Jarreau,ALJarreau,2017-02-12T00:00:00Z,United States of America,1940-03-12T00:00:00Z
Edith González,EdithGonzalezMx,2019-06-13T00:00:00Z,Mexico,1964-12-10T00:00:00Z
Satoo Tomoe,mail95108923,2016-07-01T00:00:00Z,Japan,1932-11-22T00:00:00Z
Bobbi Kristina Brown,REALbkBrown,2015-07-26T00:00:00Z,United States of America,1993-03-04T00:00:00Z
Wijdan al-Naqib,wijdanalnakeeb,2016-09-15T00:00:00Z,Ba'athist Iraq,1991-09-30T00:00:00Z
Thomas Oppermann,ThomasOppermann,2020-10-25T00:00:00Z,Germany,1954-04-27T00:00:00Z
Moisès Maicas,moisesmaicas,2017-06-13T00:00:00Z,Spain,1964-01-01T00:00:00Z
Elie Wiesel,eliewiesel,2016-07-02T00:00:00Z,Hungary,1928-09-30T00:00:00Z
Ahmed Zewail,_zewail_,2016-08-02T00:00:00Z,Egypt,1946-02-26T00:00:00Z
Elie Wiesel,eliewiesel,2016-07-02T00:00:00Z,United States of America,1928-09-30T00:00:00Z
Olympia Dukakis,olympiadukakis,2021-05-01T00:00:00Z,United States of America,1931-06-20T00:00:00Z
Bob Marley,bobmarley,1981-05-11T00:00:00Z,Jamaica,1945-02-06T00:00:00Z
Tarō Fujioka,t_fujioka,2012-03-17T00:00:00Z,Japan,1964-04-13T00:00:00Z
Yonrico Scott,yonricoscott,2019-09-19T00:00:00Z,United States of America,1955-10-05T00:00:00Z
Ian Bell,IanBell1916,2015-12-10T00:00:00Z,United Kingdom,1956-01-07T00:00:00Z
Hana Kimura,hanadayo0903,2020-05-23T00:00:00Z,Japan,1997-09-03T00:00:00Z
Izuhi Higashioka,izuhi_higasioka,2019-05-01T00:00:00Z,Japan,1949-02-17T00:00:00Z
Sharon Jones,sharonjones,2016-11-18T00:00:00Z,United States of America,1956-05-04T00:00:00Z
